sra_accession	ecotype	isMix	isWild	original_ecotype	original_genotype
ERR3482681	6909	1	1	Col x Ler	wild type genotype
ERR3482683	6909	1	1	Col x Ler	wild type genotype
ERR3482684	6909	1	1	Col x Ler	wild type genotype
ERR3482685	6909	1	1	Col x Ler	wild type genotype
ERR3482686	6909	1	1	Col x Ler	wild type genotype
ERR3482687	6909	1	1	Col x Ler	wild type genotype
ERR3482691	6909	1	1	Col x Ler	wild type genotype
ERR3482692	6909	1	1	Col x Ler	wild type genotype
ERR3482693	6909	1	1	Col x Ler	wild type genotype
ERR3482695	6909	1	1	Col x Ler	wild type genotype
ERR3482696	6909	1	1	Col x Ler	wild type genotype
ERR3482697	6909	1	1	Col x Ler	wild type genotype
ERR3482698	6909	1	1	Col x Ler	wild type genotype
ERR3482699	6909	1	1	Col x Ler	wild type genotype
ERR3482700	6909	1	1	Col x Ler	wild type genotype
ERR3482701	6909	1	1	Col x Ler	wild type genotype
ERR3482703	6909	1	1	Col x Ler	wild type genotype
ERR3482705	6909	1	1	Col x Ler	wild type genotype
ERR3482706	6909	1	1	Col x Ler	wild type genotype
ERR3482707	6909	1	1	Col x Ler	wild type genotype
ERR3482710	6909	1	1	Col x Ler	wild type genotype
ERR3482711	6909	1	1	Col x Ler	wild type genotype
ERR3482713	6909	1	1	Col x Ler	wild type genotype
ERR3482714	6909	1	1	Col x Ler	wild type genotype
ERR3482716	6909	1	1	Col x Ler	wild type genotype
ERR3482717	6909	1	1	Col x Ler	wild type genotype
ERR3482718	6909	1	1	Col x Ler	wild type genotype
ERR3482720	6909	1	1	Col x Ler	wild type genotype
ERR3482721	6909	1	1	Col x Ler	wild type genotype
ERR3482722	6909	1	1	Col x Ler	wild type genotype
ERR3482723	6909	1	1	Col x Ler	wild type genotype
ERR3482724	6909	1	1	Col x Ler	wild type genotype
ERR3482725	6909	1	1	Col x Ler	wild type genotype
ERR3482726	6909	1	1	Col x Ler	wild type genotype
ERR3482727	6909	1	1	Col x Ler	wild type genotype
ERR3482728	6909	1	1	Col x Ler	wild type genotype
ERR3482729	6909	1	1	Col x Ler	wild type genotype
ERR3482731	6909	1	1	Col x Ler	wild type genotype
ERR3482732	6909	1	1	Col x Ler	wild type genotype
ERR3482734	6909	1	1	Col x Ler	wild type genotype
ERR3482735	6909	1	1	Col x Ler	wild type genotype
ERR3482736	6909	1	1	Col x Ler	wild type genotype
ERR3482737	6909	1	1	Col x Ler	wild type genotype
ERR3482739	6909	1	1	Col x Ler	wild type genotype
ERR3482740	6909	1	1	Col x Ler	wild type genotype
ERR3482741	6909	1	1	Col x Ler	wild type genotype
ERR3482744	6909	1	1	Col x Ler	wild type genotype
ERR3482747	6909	1	1	Col x Ler	wild type genotype
ERR3482750	6909	1	1	Col x Ler	wild type genotype
ERR3482751	6909	1	1	Col x Ler	wild type genotype
ERR3482753	6909	1	1	Col x Ler	wild type genotype
ERR3482754	6909	1	1	Col x Ler	wild type genotype
ERR3482758	6909	1	1	Col x Ler	wild type genotype
ERR3482759	6909	1	1	Col x Ler	wild type genotype
ERR3482760	6909	1	1	Col x Ler	wild type genotype
ERR3482761	6909	1	1	Col x Ler	wild type genotype
ERR3482762	6909	1	1	Col x Ler	wild type genotype
ERR3482763	6909	1	1	Col x Ler	wild type genotype
ERR3482764	6909	1	1	Col x Ler	wild type genotype
ERR3482765	6909	1	1	Col x Ler	wild type genotype
ERR3482766	6909	1	1	Col x Ler	wild type genotype
ERR3482767	6909	1	1	Col x Ler	wild type genotype
ERR3482768	6909	1	1	Col x Ler	wild type genotype
ERR3482772	6909	1	1	Col x Ler	wild type genotype
ERR3482774	6909	1	1	Col x Ler	wild type genotype
ERR3482776	6909	1	1	Col x Ler	wild type genotype
ERR3482779	6909	1	1	Col x Ler	wild type genotype
ERR3482780	6909	1	1	Col x Ler	wild type genotype
ERR3482781	6909	1	1	Col x Ler	wild type genotype
ERR3482783	6909	1	1	Col x Ler	wild type genotype
ERR3482784	6909	1	1	Col x Ler	wild type genotype
ERR3482788	6909	1	1	Col x Ler	wild type genotype
ERR3482790	6909	1	1	Col x Ler	wild type genotype
ERR3482791	6909	1	1	Col x Ler	wild type genotype
ERR3482793	6909	1	1	Col x Ler	wild type genotype
ERR3482796	6909	1	1	Col x Ler	wild type genotype
ERR3482797	6909	1	1	Col x Ler	wild type genotype
ERR3482798	6909	1	1	Col x Ler	wild type genotype
ERR3482800	6909	1	1	Col x Ler	wild type genotype
ERR3482802	6909	1	1	Col x Ler	wild type genotype
ERR3482804	6909	1	1	Col x Ler	wild type genotype
ERR3482805	6909	1	1	Col x Ler	wild type genotype
ERR3482806	6909	1	1	Col x Ler	wild type genotype
ERR3482807	6909	1	1	Col x Ler	wild type genotype
ERR3482808	6909	1	1	Col x Ler	wild type genotype
ERR3482809	6909	1	1	Col x Ler	wild type genotype
ERR3482810	6909	1	1	Col x Ler	wild type genotype
ERR3482811	6909	1	1	Col x Ler	wild type genotype
ERR3482813	6909	1	1	Col x Ler	wild type genotype
ERR3482814	6909	1	1	Col x Ler	wild type genotype
ERR3482816	6909	1	1	Col x Ler	wild type genotype
ERR3482818	6909	1	1	Col x Ler	wild type genotype
ERR3482823	6909	1	1	Col x Ler	wild type genotype
ERR3482824	6909	1	1	Col x Ler	wild type genotype
ERR3482826	6909	1	1	Col x Ler	wild type genotype
ERR3482827	6909	1	1	Col x Ler	wild type genotype
ERR3482828	6909	1	1	Col x Ler	wild type genotype
ERR3482829	6909	1	1	Col x Ler	wild type genotype
ERR3482830	6909	1	1	Col x Ler	wild type genotype
ERR3482832	6909	1	1	Col x Ler	wild type genotype
ERR3482833	6909	1	1	Col x Ler	wild type genotype
ERR3482834	6909	1	1	Col x Ler	wild type genotype
ERR3482835	6909	1	1	Col x Ler	wild type genotype
ERR3482837	6909	1	1	Col x Ler	wild type genotype
ERR3482838	6909	1	1	Col x Ler	wild type genotype
ERR3482839	6909	1	1	Col x Ler	wild type genotype
ERR3482841	6909	1	1	Col x Ler	wild type genotype
ERR3482842	6909	1	1	Col x Ler	wild type genotype
ERR3482843	6909	1	1	Col x Ler	wild type genotype
ERR3482845	6909	1	1	Col x Ler	wild type genotype
ERR3482847	6909	1	1	Col x Ler	wild type genotype
ERR3482849	6909	1	1	Col x Ler	wild type genotype
ERR3482851	6909	1	1	Col x Ler	wild type genotype
ERR3482853	6909	1	1	Col x Ler	wild type genotype
ERR3482858	6909	1	1	Col x Ler	wild type genotype
ERR3482859	6909	1	1	Col x Ler	wild type genotype
ERR3482860	6909	1	1	Col x Ler	wild type genotype
ERR3482861	6909	1	1	Col x Ler	wild type genotype
ERR3482863	6909	1	1	Col x Ler	wild type genotype
ERR3482865	6909	1	1	Col x Ler	wild type genotype
ERR3482866	6909	1	1	Col x Ler	wild type genotype
ERR3482867	6909	1	1	Col x Ler	wild type genotype
ERR3482869	6909	1	1	Col x Ler	wild type genotype
ERR3482870	6909	1	1	Col x Ler	wild type genotype
ERR3482872	6909	1	1	Col x Ler	wild type genotype
ERR3482873	6909	1	1	Col x Ler	wild type genotype
ERR3482877	6909	1	1	Col x Ler	wild type genotype
ERR3482878	6909	1	1	Col x Ler	wild type genotype
ERR3482880	6909	1	1	Col x Ler	wild type genotype
ERR3482883	6909	1	1	Col x Ler	wild type genotype
ERR3482884	6909	1	1	Col x Ler	wild type genotype
ERR3482885	6909	1	1	Col x Ler	wild type genotype
ERR3482886	6909	1	1	Col x Ler	wild type genotype
ERR3482887	6909	1	1	Col x Ler	wild type genotype
ERR3482888	6909	1	1	Col x Ler	wild type genotype
ERR3482889	6909	1	1	Col x Ler	wild type genotype
ERR3482890	6909	1	1	Col x Ler	wild type genotype
ERR3482891	6909	1	1	Col x Ler	wild type genotype
ERR3482892	6909	1	1	Col x Ler	wild type genotype
ERR3482894	6909	1	1	Col x Ler	wild type genotype
ERR3482896	6909	1	1	Col x Ler	wild type genotype
ERR3482898	6909	1	1	Col x Ler	wild type genotype
ERR3482899	6909	1	1	Col x Ler	wild type genotype
ERR3482900	6909	1	1	Col x Ler	wild type genotype
ERR3482901	6909	1	1	Col x Ler	wild type genotype
ERR3482902	6909	1	1	Col x Ler	wild type genotype
ERR3482903	6909	1	1	Col x Ler	wild type genotype
ERR3482906	6909	1	1	Col x Ler	wild type genotype
ERR3482911	6909	1	1	Col x Ler	wild type genotype
ERR3482913	6909	1	1	Col x Ler	wild type genotype
ERR3482915	6909	1	1	Col x Ler	wild type genotype
ERR3482917	6909	1	1	Col x Ler	wild type genotype
ERR3482918	6909	1	1	Col x Ler	wild type genotype
ERR3482919	6909	1	1	Col x Ler	wild type genotype
ERR3482920	6909	1	1	Col x Ler	wild type genotype
ERR3482923	6909	1	1	Col x Ler	wild type genotype
ERR3482925	6909	1	1	Col x Ler	wild type genotype
ERR3482926	6909	1	1	Col x Ler	wild type genotype
ERR3482929	6909	1	1	Col x Ler	wild type genotype
ERR3482932	6909	1	1	Col x Ler	wild type genotype
ERR3482933	6909	1	1	Col x Ler	wild type genotype
ERR3482935	6909	1	1	Col x Ler	wild type genotype
ERR3482936	6909	1	1	Col x Ler	wild type genotype
ERR3482937	6909	1	1	Col x Ler	wild type genotype
ERR3482941	6909	1	1	Col x Ler	wild type genotype
ERR3482942	6909	1	1	Col x Ler	wild type genotype
ERR3482943	6909	1	1	Col x Ler	wild type genotype
ERR3482944	6909	1	1	Col x Ler	wild type genotype
ERR3482945	6909	1	1	Col x Ler	wild type genotype
ERR3482946	6909	1	1	Col x Ler	wild type genotype
ERR3482947	6909	1	1	Col x Ler	wild type genotype
ERR3482948	6909	1	1	Col x Ler	wild type genotype
ERR3482950	6909	1	1	Col x Ler	wild type genotype
ERR3482951	6909	1	1	Col x Ler	wild type genotype
ERR3482953	6909	1	1	Col x Ler	wild type genotype
ERR3482954	6909	1	1	Col x Ler	wild type genotype
ERR3482955	6909	1	1	Col x Ler	wild type genotype
ERR3482956	6909	1	1	Col x Ler	wild type genotype
ERR3482957	6909	1	1	Col x Ler	wild type genotype
ERR3482958	6909	1	1	Col x Ler	wild type genotype
ERR3482961	6909	1	1	Col x Ler	wild type genotype
ERR3482964	6909	1	1	Col x Ler	wild type genotype
ERR3482965	6909	1	1	Col x Ler	wild type genotype
ERR3482966	6909	1	1	Col x Ler	wild type genotype
ERR3482968	6909	1	1	Col x Ler	wild type genotype
ERR3482969	6909	1	1	Col x Ler	wild type genotype
ERR3482971	6909	1	1	Col x Ler	wild type genotype
ERR3482972	6909	1	1	Col x Ler	wild type genotype
ERR3482973	6909	1	1	Col x Ler	wild type genotype
ERR3482974	6909	1	1	Col x Ler	wild type genotype
ERR3482975	6909	1	1	Col x Ler	wild type genotype
ERR3482978	6909	1	1	Col x Ler	wild type genotype
ERR3482979	6909	1	1	Col x Ler	wild type genotype
ERR3482980	6909	1	1	Col x Ler	wild type genotype
ERR3482983	6909	1	1	Col x Ler	wild type genotype
ERR3482984	6909	1	1	Col x Ler	wild type genotype
ERR3482985	6909	1	1	Col x Ler	wild type genotype
ERR3482986	6909	1	1	Col x Ler	wild type genotype
ERR3482988	6909	1	1	Col x Ler	wild type genotype
ERR3482989	6909	1	1	Col x Ler	wild type genotype
ERR3482990	6909	1	1	Col x Ler	wild type genotype
ERR3482991	6909	1	1	Col x Ler	wild type genotype
ERR3482993	6909	1	1	Col x Ler	wild type genotype
ERR3482994	6909	1	1	Col x Ler	wild type genotype
ERR3482995	6909	1	1	Col x Ler	wild type genotype
ERR3482997	6909	1	1	Col x Ler	wild type genotype
ERR3482999	6909	1	1	Col x Ler	wild type genotype
ERR3483000	6909	1	1	Col x Ler	wild type genotype
ERR3483002	6909	1	1	Col x Ler	wild type genotype
ERR3483005	6909	1	1	Col x Ler	wild type genotype
ERR3483006	6909	1	1	Col x Ler	wild type genotype
ERR3483008	6909	1	1	Col x Ler	wild type genotype
ERR3483009	6909	1	1	Col x Ler	wild type genotype
ERR3483011	6909	1	1	Col x Ler	wild type genotype
ERR3483014	6909	1	1	Col x Ler	wild type genotype
ERR3483015	6909	1	1	Col x Ler	wild type genotype
ERR3483018	6909	1	1	Col x Ler	wild type genotype
ERR3483020	6909	1	1	Col x Ler	wild type genotype
ERR3483021	6909	1	1	Col x Ler	wild type genotype
ERR3483023	6909	1	1	Col x Ler	wild type genotype
ERR3483024	6909	1	1	Col x Ler	wild type genotype
ERR3483025	6909	1	1	Col x Ler	wild type genotype
ERR3483028	6909	1	1	Col x Ler	wild type genotype
ERR3483029	6909	1	1	Col x Ler	wild type genotype
ERR3483030	6909	1	1	Col x Ler	wild type genotype
ERR3483031	6909	1	1	Col x Ler	wild type genotype
ERR3483032	6909	1	1	Col x Ler	wild type genotype
ERR3483033	6909	1	1	Col x Ler	wild type genotype
ERR3483034	6909	1	1	Col x Ler	wild type genotype
ERR3483035	6909	1	1	Col x Ler	wild type genotype
ERR3483036	6909	1	1	Col x Ler	wild type genotype
ERR3483039	6909	1	1	Col x Ler	wild type genotype
ERR3483040	6909	1	1	Col x Ler	wild type genotype
ERR3483042	6909	1	1	Col x Ler	wild type genotype
ERR3483043	6909	1	1	Col x Ler	wild type genotype
ERR3483045	6909	1	1	Col x Ler	wild type genotype
ERR3483046	6909	1	1	Col x Ler	wild type genotype
ERR3483047	6909	1	1	Col x Ler	wild type genotype
ERR3483049	6909	1	1	Col x Ler	wild type genotype
ERR3483050	6909	1	1	Col x Ler	wild type genotype
ERR3483051	6909	1	1	Col x Ler	wild type genotype
ERR3483052	6909	1	1	Col x Ler	wild type genotype
ERR3483053	6909	1	1	Col x Ler	wild type genotype
ERR3483055	6909	1	1	Col x Ler	wild type genotype
ERR3483056	6909	1	1	Col x Ler	wild type genotype
ERR3483057	6909	1	1	Col x Ler	wild type genotype
ERR3483058	6909	1	1	Col x Ler	wild type genotype
ERR3483060	6909	1	1	Col x Ler	wild type genotype
ERR3483063	6909	1	1	Col x Ler	wild type genotype
ERR3483064	6909	1	1	Col x Ler	wild type genotype
ERR3483065	6909	1	1	Col x Ler	wild type genotype
ERR3483067	6909	1	1	Col x Ler	wild type genotype
ERR3483069	6909	1	1	Col x Ler	wild type genotype
ERR3483070	6909	1	1	Col x Ler	wild type genotype
ERR3483071	6909	1	1	Col x Ler	wild type genotype
ERR3483072	6909	1	1	Col x Ler	wild type genotype
ERR3483073	6909	1	1	Col x Ler	wild type genotype
ERR3483076	6909	1	1	Col x Ler	wild type genotype
ERR3483078	6909	1	1	Col x Ler	wild type genotype
ERR3483079	6909	1	1	Col x Ler	wild type genotype
ERR3483082	6909	1	1	Col x Ler	wild type genotype
ERR3483084	6909	1	1	Col x Ler	wild type genotype
ERR3483085	6909	1	1	Col x Ler	wild type genotype
ERR3483089	6909	1	1	Col x Ler	wild type genotype
ERR3483090	6909	1	1	Col x Ler	wild type genotype
ERR3483091	6909	1	1	Col x Ler	wild type genotype
ERR3483092	6909	1	1	Col x Ler	wild type genotype
ERR3483093	6909	1	1	Col x Ler	wild type genotype
ERR3483095	6909	1	1	Col x Ler	wild type genotype
ERR3483097	6909	1	1	Col x Ler	wild type genotype
ERR3483098	6909	1	1	Col x Ler	wild type genotype
ERR3483100	6909	1	1	Col x Ler	wild type genotype
ERR3483101	6909	1	1	Col x Ler	wild type genotype
ERR3483102	6909	1	1	Col x Ler	wild type genotype
ERR3483103	6909	1	1	Col x Ler	wild type genotype
ERR3483104	6909	1	1	Col x Ler	wild type genotype
ERR3483106	6909	1	1	Col x Ler	wild type genotype
ERR3483111	6909	1	1	Col x Ler	wild type genotype
ERR3483113	6909	1	1	Col x Ler	wild type genotype
ERR3483115	6909	1	1	Col x Ler	wild type genotype
ERR3483116	6909	1	1	Col x Ler	wild type genotype
ERR3483118	6909	1	1	Col x Ler	wild type genotype
ERR3483119	6909	1	1	Col x Ler	wild type genotype
ERR3483121	6909	1	1	Col x Ler	wild type genotype
ERR3483122	6909	1	1	Col x Ler	wild type genotype
ERR3483123	6909	1	1	Col x Ler	wild type genotype
ERR3483124	6909	1	1	Col x Ler	wild type genotype
ERR3483126	6909	1	1	Col x Ler	wild type genotype
ERR3483127	6909	1	1	Col x Ler	wild type genotype
ERR3483128	6909	1	1	Col x Ler	wild type genotype
ERR3483129	6909	1	1	Col x Ler	wild type genotype
ERR3483130	6909	1	1	Col x Ler	wild type genotype
ERR3483132	6909	1	1	Col x Ler	wild type genotype
ERR3483133	6909	1	1	Col x Ler	wild type genotype
ERR3483134	6909	1	1	Col x Ler	wild type genotype
ERR3483135	6909	1	1	Col x Ler	wild type genotype
ERR3483136	6909	1	1	Col x Ler	wild type genotype
ERR3483137	6909	1	1	Col x Ler	wild type genotype
ERR3483140	6909	1	1	Col x Ler	wild type genotype
ERR3483143	6909	1	1	Col x Ler	wild type genotype
ERR3483144	6909	1	1	Col x Ler	wild type genotype
ERR3483145	6909	1	1	Col x Ler	wild type genotype
ERR3483148	6909	1	1	Col x Ler	wild type genotype
ERR3483149	6909	1	1	Col x Ler	wild type genotype
ERR3483150	6909	1	1	Col x Ler	wild type genotype
ERR3483152	6909	1	1	Col x Ler	wild type genotype
ERR3483153	6909	1	1	Col x Ler	wild type genotype
ERR3483154	6909	1	1	Col x Ler	wild type genotype
ERR3483155	6909	1	1	Col x Ler	wild type genotype
ERR3483156	6909	1	1	Col x Ler	wild type genotype
ERR3483157	6909	1	1	Col x Ler	wild type genotype
ERR3483158	6909	1	1	Col x Ler	wild type genotype
ERR3483160	6909	1	1	Col x Ler	wild type genotype
ERR3483163	6909	1	1	Col x Ler	wild type genotype
ERR3483164	6909	1	1	Col x Ler	wild type genotype
ERR3483166	6909	1	1	Col x Ler	wild type genotype
ERR3483168	6909	1	1	Col x Ler	wild type genotype
ERR3483169	6909	1	1	Col x Ler	wild type genotype
ERR3483172	6909	1	1	Col x Ler	wild type genotype
ERR3483173	6909	1	1	Col x Ler	wild type genotype
ERR3483174	6909	1	1	Col x Ler	wild type genotype
ERR3483175	6909	1	1	Col x Ler	wild type genotype
ERR3483176	6909	1	1	Col x Ler	wild type genotype
ERR3483177	6909	1	1	Col x Ler	wild type genotype
ERR3483178	6909	1	1	Col x Ler	wild type genotype
ERR3483180	6909	1	1	Col x Ler	wild type genotype
ERR3483182	6909	1	1	Col x Ler	wild type genotype
ERR3483183	6909	1	1	Col x Ler	wild type genotype
ERR3483184	6909	1	1	Col x Ler	wild type genotype
ERR3483185	6909	1	1	Col x Ler	wild type genotype
ERR3483186	6909	1	1	Col x Ler	wild type genotype
ERR3483188	6909	1	1	Col x Ler	wild type genotype
ERR3483189	6909	1	1	Col x Ler	wild type genotype
ERR3483190	6909	1	1	Col x Ler	wild type genotype
ERR3483191	6909	1	1	Col x Ler	wild type genotype
ERR3483192	6909	1	1	Col x Ler	wild type genotype
ERR3483193	6909	1	1	Col x Ler	wild type genotype
ERR3483194	6909	1	1	Col x Ler	wild type genotype
ERR3483195	6909	1	1	Col x Ler	wild type genotype
ERR3483197	6909	1	1	Col x Ler	wild type genotype
ERR3483198	6909	1	1	Col x Ler	wild type genotype
ERR3483199	6909	1	1	Col x Ler	wild type genotype
ERR3483200	6909	1	1	Col x Ler	wild type genotype
ERR3483202	6909	1	1	Col x Ler	wild type genotype
ERR3483203	6909	1	1	Col x Ler	wild type genotype
ERR3483204	6909	1	1	Col x Ler	wild type genotype
ERR3483211	6909	1	1	Col x Ler	wild type genotype
ERR3483213	6909	1	1	Col x Ler	wild type genotype
ERR3483215	6909	1	1	Col x Ler	wild type genotype
ERR3483217	6909	1	1	Col x Ler	wild type genotype
ERR3483220	6909	1	1	Col x Ler	wild type genotype
ERR3483223	6909	1	1	Col x Ler	wild type genotype
ERR3483224	6909	1	1	Col x Ler	wild type genotype
ERR3483226	6909	1	1	Col x Ler	wild type genotype
ERR3483227	6909	1	1	Col x Ler	wild type genotype
ERR3483229	6909	1	1	Col x Ler	wild type genotype
ERR3483230	6909	1	1	Col x Ler	wild type genotype
ERR3483232	6909	1	1	Col x Ler	wild type genotype
ERR3483234	6909	1	1	Col x Ler	wild type genotype
ERR3483235	6909	1	1	Col x Ler	wild type genotype
ERR3483236	6909	1	1	Col x Ler	wild type genotype
ERR3483237	6909	1	1	Col x Ler	wild type genotype
ERR3483238	6909	1	1	Col x Ler	wild type genotype
ERR3483239	6909	1	1	Col x Ler	wild type genotype
ERR3483240	6909	1	1	Col x Ler	wild type genotype
ERR3483241	6909	1	1	Col x Ler	wild type genotype
ERR3483242	6909	1	1	Col x Ler	wild type genotype
ERR3483243	6909	1	1	Col x Ler	wild type genotype
ERR3483245	6909	1	1	Col x Ler	wild type genotype
ERR3483246	6909	1	1	Col x Ler	wild type genotype
ERR3483247	6909	1	1	Col x Ler	wild type genotype
ERR3483248	6909	1	1	Col x Ler	wild type genotype
ERR3483249	6909	1	1	Col x Ler	wild type genotype
ERR3483252	6909	1	1	Col x Ler	wild type genotype
ERR3483254	6909	1	1	Col x Ler	wild type genotype
ERR3483255	6909	1	1	Col x Ler	wild type genotype
ERR3483256	6909	1	1	Col x Ler	wild type genotype
ERR3483257	6909	1	1	Col x Ler	wild type genotype
ERR3483258	6909	1	1	Col x Ler	wild type genotype
ERR3483261	6909	1	1	Col x Ler	wild type genotype
ERR3483262	6909	1	1	Col x Ler	wild type genotype
ERR3483264	6909	1	1	Col x Ler	wild type genotype
ERR3483265	6909	1	1	Col x Ler	wild type genotype
ERR3483266	6909	1	1	Col x Ler	wild type genotype
ERR3483267	6909	1	1	Col x Ler	wild type genotype
ERR3483268	6909	1	1	Col x Ler	wild type genotype
ERR3483270	6909	1	1	Col x Ler	wild type genotype
ERR3483271	6909	1	1	Col x Ler	wild type genotype
ERR3483273	6909	1	1	Col x Ler	wild type genotype
ERR3483274	6909	1	1	Col x Ler	wild type genotype
ERR3483275	6909	1	1	Col x Ler	wild type genotype
ERR3483277	6909	1	1	Col x Ler	wild type genotype
ERR3483278	6909	1	1	Col x Ler	wild type genotype
ERR3483279	6909	1	1	Col x Ler	wild type genotype
ERR3483281	6909	1	1	Col x Ler	wild type genotype
ERR3483284	6909	1	1	Col x Ler	wild type genotype
ERR3483286	6909	1	1	Col x Ler	wild type genotype
ERR3483287	6909	1	1	Col x Ler	wild type genotype
ERR3483288	6909	1	1	Col x Ler	wild type genotype
ERR3483290	6909	1	1	Col x Ler	wild type genotype
ERR3483293	6909	1	1	Col x Ler	wild type genotype
ERR3483294	6909	1	1	Col x Ler	wild type genotype
ERR3483295	6909	1	1	Col x Ler	wild type genotype
ERR3483297	6909	1	1	Col x Ler	wild type genotype
ERR3483298	6909	1	1	Col x Ler	wild type genotype
ERR3483299	6909	1	1	Col x Ler	wild type genotype
ERR3483301	6909	1	1	Col x Ler	wild type genotype
ERR3483302	6909	1	1	Col x Ler	wild type genotype
ERR3483304	6909	1	1	Col x Ler	wild type genotype
ERR3483308	6909	1	1	Col x Ler	wild type genotype
ERR3483309	6909	1	1	Col x Ler	wild type genotype
ERR3483312	6909	1	1	Col x Ler	wild type genotype
ERR3483314	6909	1	1	Col x Ler	wild type genotype
ERR3483316	6909	1	1	Col x Ler	wild type genotype
ERR3483317	6909	1	1	Col x Ler	wild type genotype
ERR3483319	6909	1	1	Col x Ler	wild type genotype
ERR3483321	6909	1	1	Col x Ler	wild type genotype
ERR3483323	6909	1	1	Col x Ler	wild type genotype
ERR3483324	6909	1	1	Col x Ler	wild type genotype
ERR3483325	6909	1	1	Col x Ler	wild type genotype
ERR3483326	6909	1	1	Col x Ler	wild type genotype
ERR3483327	6909	1	1	Col x Ler	wild type genotype
ERR3483328	6909	1	1	Col x Ler	wild type genotype
ERR3483331	6909	1	1	Col x Ler	wild type genotype
ERR3483333	6909	1	1	Col x Ler	wild type genotype
ERR3483336	6909	1	1	Col x Ler	wild type genotype
ERR3483337	6909	1	1	Col x Ler	wild type genotype
ERR3483339	6909	1	1	Col x Ler	wild type genotype
ERR3483340	6909	1	1	Col x Ler	wild type genotype
ERR3483341	6909	1	1	Col x Ler	wild type genotype
ERR3483343	6909	1	1	Col x Ler	wild type genotype
ERR3483344	6909	1	1	Col x Ler	wild type genotype
ERR3483345	6909	1	1	Col x Ler	wild type genotype
ERR3483348	6909	1	1	Col x Ler	wild type genotype
ERR3483351	6909	1	1	Col x Ler	wild type genotype
ERR3483353	6909	1	1	Col x Ler	wild type genotype
ERR3483355	6909	1	1	Col x Ler	wild type genotype
ERR3483356	6909	1	1	Col x Ler	wild type genotype
ERR3483357	6909	1	1	Col x Ler	wild type genotype
ERR3483359	6909	1	1	Col x Ler	wild type genotype
ERR3483361	6909	1	1	Col x Ler	wild type genotype
ERR3483362	6909	1	1	Col x Ler	wild type genotype
ERR3483363	6909	1	1	Col x Ler	wild type genotype
ERR3483364	6909	1	1	Col x Ler	wild type genotype
ERR3483365	6909	1	1	Col x Ler	wild type genotype
ERR3483366	6909	1	1	Col x Ler	wild type genotype
ERR3483367	6909	1	1	Col x Ler	wild type genotype
ERR3483369	6909	1	1	Col x Ler	wild type genotype
ERR3483371	6909	1	1	Col x Ler	wild type genotype
ERR3483372	6909	1	1	Col x Ler	wild type genotype
ERR3483373	6909	1	1	Col x Ler	wild type genotype
ERR3483374	6909	1	1	Col x Ler	wild type genotype
ERR3483376	6909	1	1	Col x Ler	wild type genotype
ERR3483379	6909	1	1	Col x Ler	wild type genotype
ERR3483381	6909	1	1	Col x Ler	wild type genotype
ERR3483383	6909	1	1	Col x Ler	wild type genotype
ERR3483384	6909	1	1	Col x Ler	wild type genotype
ERR3483388	6909	1	1	Col x Ler	wild type genotype
ERR3483389	6909	1	1	Col x Ler	wild type genotype
ERR3483390	6909	1	1	Col x Ler	wild type genotype
ERR3483391	6909	1	1	Col x Ler	wild type genotype
ERR3483392	6909	1	1	Col x Ler	wild type genotype
ERR3483393	6909	1	1	Col x Ler	wild type genotype
ERR3483394	6909	1	1	Col x Ler	wild type genotype
ERR3483395	6909	1	1	Col x Ler	wild type genotype
ERR3483398	6909	1	1	Col x Ler	wild type genotype
ERR3483399	6909	1	1	Col x Ler	wild type genotype
ERR3483400	6909	1	1	Col x Ler	wild type genotype
ERR3483401	6909	1	1	Col x Ler	wild type genotype
ERR3483402	6909	1	1	Col x Ler	wild type genotype
ERR3483404	6909	1	1	Col x Ler	wild type genotype
ERR3483405	6909	1	1	Col x Ler	wild type genotype
ERR3483406	6909	1	1	Col x Ler	wild type genotype
ERR3483409	6909	1	1	Col x Ler	wild type genotype
ERR3483410	6909	1	1	Col x Ler	wild type genotype
ERR3483414	6909	1	1	Col x Ler	wild type genotype
ERR3483415	6909	1	1	Col x Ler	wild type genotype
ERR3483416	6909	1	1	Col x Ler	wild type genotype
ERR3483417	6909	1	1	Col x Ler	wild type genotype
ERR3483418	6909	1	1	Col x Ler	wild type genotype
ERR3483419	6909	1	1	Col x Ler	wild type genotype
ERR3483420	6909	1	1	Col x Ler	wild type genotype
ERR3483421	6909	1	1	Col x Ler	wild type genotype
ERR3483423	6909	1	1	Col x Ler	wild type genotype
ERR3483425	6909	1	1	Col x Ler	wild type genotype
ERR3483429	6909	1	1	Col x Ler	wild type genotype
ERR3483433	6909	1	1	Col x Ler	wild type genotype
ERR3483435	6909	1	1	Col x Ler	wild type genotype
ERR3483437	6909	1	1	Col x Ler	wild type genotype
ERR3483439	6909	1	1	Col x Ler	wild type genotype
ERR3483441	6909	1	1	Col x Ler	wild type genotype
ERR3483443	6909	1	1	Col x Ler	wild type genotype
ERR3483445	6909	1	1	Col x Ler	wild type genotype
ERR3483447	6909	1	1	Col x Ler	wild type genotype
ERR3483449	6909	1	1	Col x Ler	wild type genotype
ERR3483450	6909	1	1	Col x Ler	wild type genotype
ERR3483451	6909	1	1	Col x Ler	wild type genotype
ERR3483452	6909	1	1	Col x Ler	wild type genotype
